DMC Code,Color Name,HEX,R,G,B,RGB
957,Geranium - PALE,#FD99AF,253,153,175,"253, 153, 175"
958,Seagreen - DK,#0DB294,13,178,148,"13, 178, 148"
959,Seagreen - MED,#72D0B7,114,208,183,"114, 208, 183"
961,Dusty Rose - DK,#DE586C,222,88,108,"222, 88, 108"
962,Dusty Rose - MED,#EB7183,235,113,131,"235, 113, 131"
963,Dusty Rose - ULT VY LT,#FDCCD1,253,204,209,"253, 204, 209"
964,Seagreen - LT,#A5E4D4,165,228,212,"165, 228, 212"
966,Baby Green - MED,#94D28A,148,210,138,"148, 210, 138"
967,Peach - LT,#FFC2AC,255,194,172,"255, 194, 172"
970,Pumpkin - LT,#FB6721,251,103,33,"251, 103, 33"
971,Pumpkin,#FC670D,252,103,13,"252, 103, 13"
972,Canary - DEEP,#FB9F11,251,159,17,"251, 159, 17"
973,Canary - BRIGHT,#FCCD2D,252,205,45,"252, 205, 45"
975,Golden Brown - DK,#813C11,129,60,17,"129, 60, 17"
976,Golden Brown - MED,#CF7532,207,117,50,"207, 117, 50"
977,Golden Brown - LT,#EC8F43,236,143,67,"236, 143, 67"
986,Forest Green - VY DK,#2E5230,46,82,48,"46, 82, 48"
987,Forest Green - DK,#436838,67,104,56,"67, 104, 56"
988,Forest Green - MED,#66924A,102,146,74,"102, 146, 74"
989,Forest Green,#71A74E,113,167,78,"113, 167, 78"
991,Aquamarine - DK,#135F55,19,95,85,"19, 95, 85"
992,Aquamarine - LT,#42B59E,66,181,158,"66, 181, 158"
993,Aquamarine - VY LT,#62D8B6,98,216,182,"98, 216, 182"
995,Electric Blue - DK,#0061B0,0,97,176,"0, 97, 176"
996,Electric Blue - MED,#49A8EB,73,168,235,"73, 168, 235"
3011,Khaki Green - DK,#655935,101,89,53,"101, 89, 53"
3012,Khaki Green - MED,#8B7B4E,139,123,78,"139, 123, 78"
3013,Khaki Green - LT,#AFA97B,175,169,123,"175, 169, 123"
3021,Brown Gray - VY DK,#50403B,80,64,59,"80, 64, 59"
3022,Brown Gray - MED,#848274,132,130,116,"132, 130, 116"
3023,Brown Gray - LT,#A29B86,162,155,134,"162, 155, 134"
3024,Brown Gray - VY LT,#BEB8AC,190,184,172,"190, 184, 172"
3031,Mocha Brown - VY DK,#423014,66,48,20,"66, 48, 20"
3032,Mocha Brown - MED,#9D8868,157,136,104,"157, 136, 104"
3033,Mocha Brown - VY LT,#DBC7AD,219,199,173,"219, 199, 173"
3041,Antique Violet - MED,#866A76,134,106,118,"134, 106, 118"
3042,Antique Violet - LT,#AF98A0,175,152,160,"175, 152, 160"
3045,Yellow Beige - DK,#AF8152,175,129,82,"175, 129, 82"
3046,Yellow Beige - MED,#CEB074,206,176,116,"206, 176, 116"
3047,Yellow Beige - LT,#EAD8AB,234,216,171,"234, 216, 171"
3051,Green Gray - DK,#4C4C1E,76,76,30,"76, 76, 30"
3052,Green Gray - MED,#787E5C,120,126,92,"120, 126, 92"
3053,Green Gray,#999D75,153,157,117,"153, 157, 117"
3064,Desert Sand,#BA7056,186,112,86,"186, 112, 86"
3072,Beaver Gray - VY LT,#D2D2CA,210,210,202,"210, 210, 202"
3078,Golden Yellow - VY LT,#FCF6B6,252,246,182,"252, 246, 182"
3325,Baby Blue - LT,#ADCDE7,173,205,231,"173, 205, 231"
3326,Rose - LT,#F9979C,249,151,156,"249, 151, 156"
3328,Salmon - DK,#BE444A,190,68,74,"190, 68, 74"
3340,Apricot - MED,#FD6B4F,253,107,79,"253, 107, 79"
3341,Apricot,#FD8E78,253,142,120,"253, 142, 120"
3345,Hunter Green - DK,#40552E,64,85,46,"64, 85, 46"
3346,Hunter Green,#56743B,86,116,59,"86, 116, 59"
3347,Yellow Green - MED,#6D9646,109,150,70,"109, 150, 70"
3348,Yellow Green - LT,#BEDF74,190,223,116,"190, 223, 116"
3350,Dusty Rose - ULT DK,#AA3949,170,57,73,"170, 57, 73"
3354,Dusty Rose - LT,#EFA5AC,239,165,172,"239, 165, 172"
3362,Pine Green - DK,#49523C,73,82,60,"73, 82, 60"
3363,Pine Green - MED,#617451,97,116,81,"97, 116, 81"
3364,Pine Green,#8E9B6D,142,155,109,"142, 155, 109"
3371,Black Brown,#36220E,54,34,14,"54, 34, 14"
3607,Plum - LT,#D94C9D,217,76,157,"217, 76, 157"
3608,Plum - VY LT,#EC81BE,236,129,190,"236, 129, 190"
3609,Plum - ULT LT,#F6B0DF,246,176,223,"246, 176, 223"
3685,Mauve - VY DK,#79263B,121,38,59,"121, 38, 59"
3687,Mauve,#B5455D,181,69,93,"181, 69, 93"
3688,Mauve - MED,#DC7C86,220,124,134,"220, 124, 134"
3689,Mauve - LT,#F8BBC8,248,187,200,"248, 187, 200"
3705,Melon - DK,#F2494F,242,73,79,"242, 73, 79"
3706,Melon - MED,#FD6E70,253,110,112,"253, 110, 112"
3708,Melon - LT,#FDA0AE,253,160,174,"253, 160, 174"
3712,Salmon - MED,#D95D5D,217,93,93,"217, 93, 93"
3713,Salmon - VY LT,#FDD5D0,253,213,208,"253, 213, 208"
3716,Dusty Rose - VY LT,#FCAFB9,252,175,185,"252, 175, 185"
3721,Shell Pink - DK,#933B3D,147,59,61,"147, 59, 61"
3722,Shell Pink - MED,#A04B4C,160,75,76,"160, 75, 76"
3726,Antique Mauve - DK,#95565C,149,86,92,"149, 86, 92"
3727,Antique Mauve - LT,#DA9EA6,218,158,166,"218, 158, 166"
3731,Dusty Rose - VY DK,#C34C5C,195,76,92,"195, 76, 92"
